date,tournament,patch,w_l,side,vs,bans,bans_vs,picks,picks_vs,players,ban1,ban2,ban3,ban4,ban5,ban_vs1,ban_vs2,ban_vs3,ban_vs4,ban_vs5,pick_top,pick_jg,pick_mid,pick_bot,pick_sup,pick_vs_top,pick_vs_jg,pick_vs_mid,pick_vs_bot,pick_vs_sup,player_top,player_jg,player_mid,player_bot,player_sup
2022-08-14,KR LCK 2022 Summer,12.14,Loss,Red,Hanwha Life Esports,"Lucian,Renata Glasc,Sivir,Lissandra,Swain","Poppy,Azir,Draven,Leona,Gwen","Olaf,Wukong,Ahri,Varus,Braum","Renekton,Vi,Sylas,Kalista,Amumu","Kingen,Pyosik,Zeka,Deft,BeryL",Lucian,Renata Glasc,Sivir,Lissandra,Swain,Poppy,Azir,Draven,Leona,Gwen,Olaf,Wukong,Ahri,Varus,Braum,Renekton,Vi,Sylas,Kalista,Amumu,Kingen,Pyosik,Zeka,Deft,BeryL
2022-08-14,KR LCK 2022 Summer,12.14,Loss,Blue,Hanwha Life Esports,"Poppy,Lucian,Gwen,Renata Glasc,Nautilus","Kalista,Sivir,Zeri,Tahm Kench,Olaf","Ornn,Wukong,Ahri,Aphelios,Leona","Renekton,Vi,Lissandra,Draven,Braum","Kingen,Pyosik,Zeka,Deft,BeryL",Poppy,Lucian,Gwen,Renata Glasc,Nautilus,Kalista,Sivir,Zeri,Tahm Kench,Olaf,Ornn,Wukong,Ahri,Aphelios,Leona,Renekton,Vi,Lissandra,Draven,Braum,Kingen,Pyosik,Zeka,Deft,BeryL
,KR LCK 2022 Summer Playoffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-17,KR LCK 2022 Summer Playoffs,12.14,Loss,Red,Liiv SANDBOX,"Renata Glasc,Kalista,Vi,Skarner,Wukong","Sylas,Renekton,Azir,Gwen,Gnar","Aatrox,Poppy,LeBlanc,Lucian,Nami","Ornn,Trundle,Ahri,Sivir,Yuumi","Kingen,Pyosik,Zeka,Deft,BeryL",Renata Glasc,Kalista,Vi,Skarner,Wukong,Sylas,Renekton,Azir,Gwen,Gnar,Aatrox,Poppy,LeBlanc,Lucian,Nami,Ornn,Trundle,Ahri,Sivir,Yuumi,Kingen,Pyosik,Zeka,Deft,BeryL
2022-08-17,KR LCK 2022 Summer Playoffs,12.14,Loss,Blue,Liiv SANDBOX,"Renata Glasc,Yuumi,Azir,Lucian,Nilah","Kalista,Sylas,Sivir,LeBlanc,Lissandra","Gwen,Poppy,Swain,Zeri,Leona","Ornn,Vi,Ahri,Aphelios,Tahm Kench","Kingen,Pyosik,Zeka,Deft,BeryL",Renata Glasc,Yuumi,Azir,Lucian,Nilah,Kalista,Sylas,Sivir,LeBlanc,Lissandra,Gwen,Poppy,Swain,Zeri,Leona,Ornn,Vi,Ahri,Aphelios,Tahm Kench,Kingen,Pyosik,Zeka,Deft,BeryL
2022-08-17,KR LCK 2022 Summer Playoffs,12.14,Win,Blue,Liiv SANDBOX,"Renata Glasc,Yuumi,Vi,Trundle,Wukong","Kalista,Sivir,Ornn,Aphelios,Lucian","Jax,Poppy,Azir,Nilah,Nautilus","Gwen,Skarner,Ahri,Zeri,Lulu","Kingen,Pyosik,Zeka,Deft,BeryL",Renata Glasc,Yuumi,Vi,Trundle,Wukong,Kalista,Sivir,Ornn,Aphelios,Lucian,Jax,Poppy,Azir,Nilah,Nautilus,Gwen,Skarner,Ahri,Zeri,Lulu,Kingen,Pyosik,Zeka,Deft,BeryL
2022-08-17,KR LCK 2022 Summer Playoffs,12.14,Loss,Red,Liiv SANDBOX,"Sivir,Yuumi,Renata Glasc,Lulu,Nautilus","Sylas,Azir,Kalista,Trundle,LeBlanc","Renekton,Morgana,Lissandra,Lucian,Nami","Ornn,Poppy,Ahri,Aphelios,Tahm Kench","Kingen,Pyosik,Zeka,Deft,BeryL",Sivir,Yuumi,Renata Glasc,Lulu,Nautilus,Sylas,Azir,Kalista,Trundle,LeBlanc,Renekton,Morgana,Lissandra,Lucian,Nami,Ornn,Poppy,Ahri,Aphelios,Tahm Kench,Kingen,Pyosik,Zeka,Deft,BeryL
,KR LCK 2022 Regional Finals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-02,KR LCK 2022 Regional Finals,12.14,Win,Blue,KT Rolster,"Renekton,Ahri,Poppy,LeBlanc,Jax","Sivir,Kalista,Sylas,Ornn,Trundle","Camille,Vi,Azir,Zeri,Lulu","Aatrox,Sejuani,Swain,Lucian,Nami","Kingen,Juhan,Zeka,Deft,BeryL",Renekton,Ahri,Poppy,LeBlanc,Jax,Sivir,Kalista,Sylas,Ornn,Trundle,Camille,Vi,Azir,Zeri,Lulu,Aatrox,Sejuani,Swain,Lucian,Nami,Kingen,Juhan,Zeka,Deft,BeryL
2022-09-02,KR LCK 2022 Regional Finals,12.14,Loss,Blue,KT Rolster,"Renekton,Ahri,Poppy,LeBlanc,Aatrox","Sivir,Kalista,Sylas,Ornn,Trundle","Gragas,Wukong,Azir,Zeri,Lulu","Sion,Sejuani,Taliyah,Lucian,Nami","Kingen,Pyosik,Zeka,Deft,BeryL",Renekton,Ahri,Poppy,LeBlanc,Aatrox,Sivir,Kalista,Sylas,Ornn,Trundle,Gragas,Wukong,Azir,Zeri,Lulu,Sion,Sejuani,Taliyah,Lucian,Nami,Kingen,Pyosik,Zeka,Deft,BeryL
